date,location,nitrate,pho,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,co2,so2,temperature,ph,dissolved_oxygen,ammonia
12/17/2013,Bañaga Agoncillo,0.004333333,2.27,49.1,30.4,24,81,2,40,540,92.88888889,27.6,8.1,6.3,0.094444444
12/17/2013,Bilibinwang Agoncillo,0.004333333,2.27,49.1,30.4,24,81,2,40,540,92.88888889,27.7,8,7.6,0.094444444
12/17/2013,Subic Ilaya Agoncilo,0.004333333,2.27,49.1,30.4,24,81,2,40,540,92.88888889,27.8,8.1,7.5,0.094444444
12/17/2013,San Nicolas,0.004333333,2.27,49.1,30.4,24,81,2,40,540,92.88888889,28.2,8.2,8.4,0.094444444
12/17/2013,Mataas na Kahoy,0.004333333,2.27,49.1,30.4,24,81,2,40,540,92.88888889,27.6,8.2,7.4,0.094444444
12/17/2013,Tanauan,0.004333333,2.27,49.1,30.4,24,81,2,40,540,92.88888889,27.9,8.3,6.9,0.094444444
1/23/2014,Aya Talisay,0.004333333,2.27,0.5,28.4,20.9,74,3,40,500,92.88888889,25.13333333,8,2.9,0.64
1/23/2014,Quiling Talisay,0.004333333,2.27,0.5,28.4,20.9,74,3,40,500,92.88888889,25.3,8,2.6,0.39
1/23/2014,Tumaway Talisay,0.004333333,2.27,0.5,28.4,20.9,74,3,40,500,92.88888889,25.13333333,8,2.9,0.32
1/23/2014,Sampaloc Talisay,0.004333333,2.27,0.5,28.4,20.9,74,3,40,500,92.88888889,25.5,8,2.3,0.35
1/23/2014,Berinayan Laurel,0.004333333,2.27,0.5,28.4,20.9,74,3,40,500,92.88888889,25.33333333,8.1,5.5,0.71
1/23/2014,Balakilong Laurel,0.004333333,2.27,0.5,28.4,20.9,74,3,40,500,92.88888889,25.5,8,4.9,0.72
1/23/2014,Buso Buso Laurel,0.004333333,2.27,0.5,28.4,20.9,74,3,40,500,92.88888889,25.5,8.3,5.4,0.36
1/23/2014,Bañaga Agoncillo,0.004333333,2.27,0.5,28.4,20.9,74,3,40,500,92.88888889,25.33333333,8.1,5.8,0.46
1/23/2014,Bilibinwang Agoncillo,0.004333333,2.27,0.5,28.4,20.9,74,3,40,500,92.88888889,25.33333333,8,8,0.38
2/11/2014,Aya Talisay,0.021,2.27,0,30.7,20.6,76,2,40,680,92.88888889,26.66666667,8.166666667,8.9,0.27
2/11/2014,Tumaway Talisay,0.005,2.27,0,30.7,20.6,76,2,40,680,92.88888889,26.33333333,8.133333333,12.3,0.23
2/11/2014,Sampaloc Talisay,0.011,2.27,0,30.7,20.6,76,2,40,680,92.88888889,26.33333333,8.133333333,10.9,0.24
2/11/2014,Berinayan Laurel,0.009,2.27,0,30.7,20.6,76,2,40,680,92.88888889,26.16666667,8.1,9,0.33
2/11/2014,Balakilong Laurel,0.02,2.27,0,30.7,20.6,76,2,40,680,92.88888889,26.33333333,8.1,11.6,0.25
2/11/2014,Mataas na Kahoy,0.01,2.27,0,30.7,20.6,76,2,40,680,92.88888889,26.16666667,8.166666667,10.1,0.24
2/11/2014,Tanauan,0.004,2.27,0,30.7,20.6,76,2,40,680,92.88888889,25.83333333,8.166666667,9.8,0.21
2/12/2014,Buso Buso Laurel,0.013,2.27,0,30.7,20.6,76,2,40,680,92.88888889,25.66666667,8.3,12.9,0.31
2/12/2014,Bañaga Agoncillo,0.02,2.27,0,30.7,20.6,76,2,40,680,92.88888889,26.5,8.3,12.8,0.3
2/12/2014,Bilibinwang Agoncillo,0.002,2.27,0,30.7,20.6,76,2,40,680,92.88888889,26,8.3,10.7,0.27
2/12/2014,Subic Ilaya Agoncilo,0.006,2.27,0,30.7,20.6,76,2,40,680,92.88888889,26.16666667,8.3,7.3,0.22
2/12/2014,San Nicolas,0.007,2.27,0,30.7,20.6,76,2,40,680,92.88888889,25.83333333,8.3,8.1,0.26
3/19/2014,Aya Talisay,0.018,2.27,28.1,32,22.1,77,2,40,680,92.88888889,26.33333333,8.2,8.5,0.17
3/19/2014,Tumaway Talisay,0.021,2.27,28.1,32,22.1,77,2,40,680,92.88888889,26.33333333,8.2,7.8,0.13
3/19/2014,Sampaloc Talisay,0.011,2.27,28.1,32,22.1,77,2,40,680,92.88888889,26.33333333,8.4,7.4,0.19
3/19/2014,Mataas na Kahoy,0.015,2.27,28.1,32,22.1,77,2,40,680,92.88888889,26.33333333,8.5,8.1,1.03
3/19/2014,Tanauan,0.011,2.27,28.1,32,22.1,77,2,40,680,92.88888889,25.66666667,8.6,6.2,0.29
3/20/2014,Berinayan Laurel,0.01,2.27,28.1,32,22.1,77,2,40,680,92.88888889,26.5,8.3,8,0.26
3/20/2014,Balakilong Laurel,0.006,2.27,28.1,32,22.1,77,2,40,680,92.88888889,26.6,8.4,8.3,0.21
3/20/2014,Buso Buso Laurel,0.009,2.27,28.1,32,22.1,77,2,40,680,92.88888889,26.66666667,8.2,8.9,0.33
3/20/2014,Bañaga Agoncillo,0.013,2.27,28.1,32,22.1,77,2,40,680,92.88888889,26.16666667,8.1,8.4,0.26
3/20/2014,Bilibinwang Agoncillo,0.007,2.27,28.1,32,22.1,77,2,40,680,92.88888889,26.33333333,8.1,9,0.32
3/20/2014,Subic Ilaya Agoncilo,0.057,2.27,28.1,32,22.1,77,2,40,680,92.88888889,26.16666667,8.5,8.4,0.18
3/20/2014,San Nicolas,0.001,2.27,28.1,32,22.1,77,2,40,680,92.88888889,26.16666667,8.3,7.4,0.34
4/22/2014,Aya Talisay,0.009,2.27,22.4,34.1,22.8,76,1,40,680,92.88888889,26.5,8.1,6.6,0.15
4/22/2014,Tumaway Talisay,0.009,2.27,22.4,34.1,22.8,76,1,40,680,92.88888889,26.5,8.1,6.8,0.17
4/22/2014,Sampaloc Talisay,0.014,2.27,22.4,34.1,22.8,76,1,40,680,92.88888889,28,8,6.5,0.25
4/22/2014,Berinayan Laurel,0.004,2.27,22.4,34.1,22.8,76,1,40,680,92.88888889,28,8.25,6.4,0.15
4/22/2014,Balakilong Laurel,0.011,2.27,22.4,34.1,22.8,76,1,40,680,92.88888889,27.5,8.2,6.4,0.19
4/22/2014,Buso Buso Laurel,0.022,2.27,22.4,34.1,22.8,76,1,40,680,92.88888889,27.33333333,8,6.2,0.21
4/22/2014,Bañaga Agoncillo,0.02,2.27,22.4,34.1,22.8,76,1,40,680,92.88888889,28,8,5.8,0.22
4/22/2014,Bilibinwang Agoncillo,0.008,2.27,22.4,34.1,22.8,76,1,40,680,92.88888889,28.33333333,8,6.3,0.15
4/22/2014,Subic Ilaya Agoncilo,0.024,2.27,22.4,34.1,22.8,76,1,40,680,92.88888889,28,8,6.5,0.25
4/22/2014,San Nicolas,0.001,2.27,22.4,34.1,22.8,76,1,40,680,92.88888889,28.33333333,8,6.9,0.15
4/22/2014,Mataas na Kahoy,0.01,2.27,22.4,34.1,22.8,76,1,40,680,92.88888889,27.16666667,8,6.5,0.15
4/22/2014,Tanauan,0.005,2.27,22.4,34.1,22.8,76,1,40,680,92.88888889,27,8,6.5,0.13
5/14/2014,Aya Talisay,0,2.27,154.6,35,24.5,80,1,40,680,92.88888889,28,8.2,6.8,0.2
5/14/2014,Tumaway Talisay,0.01,2.27,154.6,35,24.5,80,1,40,680,92.88888889,28.66666667,7.9,6.9,0.17
5/14/2014,Sampaloc Talisay,0.01,2.27,154.6,35,24.5,80,1,40,680,92.88888889,28.83333333,7.9,7.4,0.33
5/14/2014,Berinayan Laurel,0.02,2.27,154.6,35,24.5,80,1,40,680,92.88888889,28.16666667,8,7,0.22
5/14/2014,Balakilong Laurel,0.01,2.27,154.6,35,24.5,80,1,40,680,92.88888889,29.33333333,8.3,7.1,0.18
5/14/2014,Buso Buso Laurel,0.01,2.27,154.6,35,24.5,80,1,40,680,92.88888889,27.83333333,8.1,7.1,0.25
5/14/2014,Bañaga Agoncillo,0.08,2.27,154.6,35,24.5,80,1,40,680,92.88888889,28.33333333,8,6.9,0.23
5/14/2014,Bilibinwang Agoncillo,0.01,2.27,154.6,35,24.5,80,1,40,680,92.88888889,27.66666667,7.9,7.2,0.29
5/14/2014,Subic Ilaya Agoncilo,0.01,2.27,154.6,35,24.5,80,1,40,680,92.88888889,27.33333333,8.3,6.9,0.17
5/14/2014,San Nicolas,0,2.27,154.6,35,24.5,80,1,40,680,92.88888889,27.33333333,8.2,7.1,0.25
5/14/2014,Mataas na Kahoy,0.01,2.27,154.6,35,24.5,80,1,40,680,92.88888889,27.33333333,8.2,7.6,0.23
5/14/2014,Tanauan,0.01,2.27,154.6,35,24.5,80,1,40,680,92.88888889,26.83333333,8,7.1,0.23
6/10/2014,Aya Talisay,0.07,2.27,78.9,33.1,24.7,83,1,240,700,92.88888889,27.66666667,9.25,8.1,0.28
6/10/2014,Tumaway Talisay,0.02,2.27,78.9,33.1,24.7,83,1,240,700,92.88888889,27.43333333,9.25,8.5,0.29
6/10/2014,Sampaloc Talisay,0.01,2.27,78.9,33.1,24.7,83,1,240,700,92.88888889,27.5,8.75,8,0.38
6/10/2014,Berinayan Laurel,0.012,2.27,78.9,33.1,24.7,83,1,240,700,92.88888889,29.16666667,9,7.3,0.45
6/10/2014,Balakilong Laurel,0.012,2.27,78.9,33.1,24.7,83,1,240,700,92.88888889,29.33333333,9,7.5,0.29
6/10/2014,Buso Buso Laurel,0.004,2.27,78.9,33.1,24.7,83,1,240,700,92.88888889,27.66666667,8.75,7.2,0.5
6/10/2014,Bañaga Agoncillo,0.012,2.27,78.9,33.1,24.7,83,1,240,700,92.88888889,28,8.75,4.3,0.37
6/10/2014,Bilibinwang Agoncillo,0.028,2.27,78.9,33.1,24.7,83,1,240,700,92.88888889,29,8.75,4,0.44
6/10/2014,Subic Ilaya Agoncilo,0.003,2.27,78.9,33.1,24.7,83,1,240,700,92.88888889,27.33333333,8.75,8.8,0.41
6/10/2014,San Nicolas,0.01,2.27,78.9,33.1,24.7,83,1,240,700,92.88888889,27.16666667,8.75,8,0.33
6/10/2014,Mataas na Kahoy,0.005,2.27,78.9,33.1,24.7,83,1,240,700,92.88888889,27.33333333,9.25,8.3,0.33
6/10/2014,Tanauan,0.007,2.27,78.9,33.1,24.7,83,1,240,700,92.88888889,31,8.75,11.2,0.37
7/17/2014,Aya Talisay,0.003,2.27,406.7,31.1,24.2,87,2,360,1800,92.88888889,27.41666667,8.75,6.8,0.28
7/17/2014,Tumaway Talisay,0.004,2.27,406.7,31.1,24.2,87,2,360,1800,92.88888889,27.75,8.75,6.9,0.26
